CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
Events Five,37,5,19,13,0,19,37,0
Centre Sportif Maryse Hilsz,37,6,16,15,0,7,0,37
POWER FIVE ( Foot à 5 en intérieur ),36,5,9,22,0,12,0,36
Stade de foot Pompadour (Plaine nord),35,7,20,8,0,9,0,35
Eureka - Gennevilliers,35,8,17,10,0,3,0,35
Abd Drive,34,5,18,11,0,2,0,34
Parc Interdépartemental de Choisy Paris Val de Marne,33,3,20,10,0,22,0,33
Arena Club,33,1,15,17,0,7,32,1
Stade Paul Faber,33,9,10,14,0,4,0,33
UrbanSoccer - Marseille La Valentine,32,1,22,9,0,15,31,1
B14 - Sports et Loisirs Indoor,32,1,16,15,0,11,0,32
Lille Football Faubourg de Bethune,31,3,22,6,0,2,0,31
Events Five Foot à 5 / Restaurant Pizzeria,31,1,10,20,0,12,31,0
Complexe Sportif ADP Orly Sud,31,6,19,6,0,6,0,31
4PADEL Créteil,30,18,6,6,0,5,0,30
Centre Sportif Louis Lumière,29,12,12,5,0,8,0,29
Parc des Sports Interdépartemental de Bobigny,29,7,13,9,0,11,0,29
Stade Emile Gagneux,28,4,21,3,0,3,0,28
Stade de la Plaine,28,7,14,7,0,13,0,28
Stade Jean-Pierre Wimille,27,5,14,8,0,7,1,26
BIG5 & PADEL,27,3,9,15,0,18,27,0
Terrain de Foot des Bords de Seine d'Evry,27,9,12,6,0,2,1,26
Power Five,27,5,4,18,0,10,0,27
Sport dans la Ville - Campus Île-de-France,27,6,11,10,0,15,0,27
Stade du Marais,26,4,21,1,0,6,0,26
La Plaine des Sports - Université Paris-Saclay,26,2,14,10,0,6,0,26
Novotel Paris Cœur d'Orly Aéroport,26,7,1,18,0,1,0,26
Terrain de Sport Westermeyer,25,1,7,17,0,3,0,25
Stade Bertrand Dauvin,25,7,15,3,0,4,1,24
Parcours sportif de la plaine du Luth,24,0,12,12,0,9,0,24
Stade la fillette bis,24,5,10,9,0,4,0,24
Parc Urbain Hippodrome,24,3,10,11,0,6,0,24
Complexe sportif Georges-Gosnat,23,5,10,8,0,5,0,23
FOOT SERIEUX,23,5,11,7,0,2,0,23
Sport dans la Ville - Campus Rhône-Alpes,23,3,13,7,0,9,0,23
Stadium Antibes,23,6,9,8,0,4,0,23
Massilia FIVE,22,3,10,9,0,13,21,1
Terrain de football de la Butte,22,2,16,4,0,3,0,22
Stade Pershing,22,10,12,0,0,2,0,22
UCPA - Club Le Village Montigny,22,2,8,12,0,6,1,21
Stade de la Poterne,22,6,14,2,0,2,0,22
